country,code,iso_numeric,year,rate
Mexico,MEX,484,2002,90.27
Mexico,MEX,484,2004,90.95
Mexico,MEX,484,2005,91.63
Mexico,MEX,484,2006,91.73
Mexico,MEX,484,2007,92.8
Mexico,MEX,484,2008,92.93
Mexico,MEX,484,2009,93.44
Mexico,MEX,484,2010,93.07
Mexico,MEX,484,2011,93.52
Mexico,MEX,484,2012,94.23
Mexico,MEX,484,2013,93.96
Mexico,MEX,484,2014,94.56
Mexico,MEX,484,2015,94.47
Mexico,MEX,484,2016,94.86
Mexico,MEX,484,2017,94.97
Mexico,MEX,484,2018,95.38
Mexico,MEX,484,2019,95.39
Mexico,MEX,484,2020,95.25
Mexico,MEX,484,2021,95.69
Mexico,MEX,484,2022,95.12
Mexico,MEX,484,2023,95.83
Mexico,MEX,484,2024,95.55
Nigeria,NGA,566,1950,12.5
Nigeria,NGA,566,1991,55.45
Nigeria,NGA,566,2003,54.77
Nigeria,NGA,566,2006,70.2
Nigeria,NGA,566,2016,58.22
Nigeria,NGA,566,2021,63.16
Nigeria,NGA,566,2024,70.41
South Africa,ZAF,710,1950,42.5
South Africa,ZAF,710,1980,76.2
South Africa,ZAF,710,1996,82.4
South Africa,ZAF,710,2007,88.72
South Africa,ZAF,710,2009,92.89
South Africa,ZAF,710,2010,92.88
South Africa,ZAF,710,2011,93.1
South Africa,ZAF,710,2012,93.73
South Africa,ZAF,710,2014,94.14
South Africa,ZAF,710,2015,94.37
South Africa,ZAF,710,2016,91.74
South Africa,ZAF,710,2019,95.02
South Africa,ZAF,710,2021,90
South Africa,ZAF,710,2024,91.15
Spain,ESP,724,1950,82.5
Spain,ESP,724,1981,92.81
Spain,ESP,724,1991,96.49
Spain,ESP,724,2004,97.17
Spain,ESP,724,2005,97.75
Spain,ESP,724,2006,97.75
Spain,ESP,724,2007,97.94
Spain,ESP,724,2008,97.63
Spain,ESP,724,2009,97.68
Spain,ESP,724,2010,97.75
Spain,ESP,724,2011,97.78
Spain,ESP,724,2012,97.89
Spain,ESP,724,2013,98.08
Spain,ESP,724,2014,98.09
Spain,ESP,724,2015,98.14
Spain,ESP,724,2016,98.25
Spain,ESP,724,2018,98.44
Spain,ESP,724,2020,98.59
Spain,ESP,724,2021,99.7
Turkey,TUR,792,1950,32.5
Turkey,TUR,792,1975,61.63
Turkey,TUR,792,1980,65.69
Turkey,TUR,792,1985,75.97
Turkey,TUR,792,1990,79.23
Turkey,TUR,792,2004,87.37
Turkey,TUR,792,2005,88.23
Turkey,TUR,792,2006,88.12
Turkey,TUR,792,2007,88.66
Turkey,TUR,792,2009,90.82
Turkey,TUR,792,2010,92.66
Turkey,TUR,792,2011,94.11
Turkey,TUR,792,2012,94.92
Turkey,TUR,792,2013,95.26
Turkey,TUR,792,2014,95.44
Turkey,TUR,792,2015,95.6
Turkey,TUR,792,2016,95.86
Turkey,TUR,792,2017,96.15
Turkey,TUR,792,2019,96.74
Turkey,TUR,792,2021,97.26
